cc1	geoname_id1	cc2	geoname_id2	n
BN	1820071	BN	1820906	1
BN	1820187	TH	1609350	2
BN	1820491	BN	1820906	1
BN	1820680	BN	1820906	2
BN	1820680	SG	1880252	1
BN	1820906	BN	1820071	1
BN	1820906	BN	1820491	1
BN	1820906	BN	1820680	2
BN	1820906	ID	1625822	1
BN	1820906	ID	1629001	1
BN	1820906	ID	1632033	1
BN	1820906	ID	1642911	1
BN	1820906	ID	1646194	1
BN	1820906	ID	1650357	1
BN	1820906	ID	6841076	1
BN	1820906	MY	1732752	6
BN	1820906	MY	1732891	8
BN	1820906	MY	1732903	1
BN	1820906	MY	1734052	3
BN	1820906	MY	1734634	1
BN	1820906	MY	1734705	2
BN	1820906	MY	1734759	1
BN	1820906	MY	1734862	1
BN	1820906	MY	1735106	3
BN	1820906	MY	1735160	2
BN	1820906	MY	1735161	16
BN	1820906	MY	1735283	1
BN	1820906	PH	1701668	2
BN	1820906	SG	1880252	21
BN	1820906	TH	1153671	2
BN	1820906	TH	1607983	1
BN	1820906	TH	1609350	5
BN	1820906	VN	1581130	1
ID	1213821	ID	1215502	1
ID	1214026	ID	1215502	2
ID	1214026	ID	1621177	1
ID	1214026	ID	1642911	1
ID	1214026	ID	1648473	1
ID	1214520	ID	1215502	1
ID	1214520	ID	1621177	3
ID	1214520	ID	1622786	2
ID	1214520	ID	1624917	1
ID	1214520	ID	1625812	1
ID	1214520	ID	1625822	5
ID	1214520	ID	1627896	3
ID	1214520	ID	1628942	1
ID	1214520	ID	1630789	1
ID	1214520	ID	1631761	1
ID	1214520	ID	1633070	1
ID	1214520	ID	1633118	1
ID	1214520	ID	1633419	2
ID	1214520	ID	1636722	1
ID	1214520	ID	1641902	1
ID	1214520	ID	1642911	18
ID	1214520	ID	1645524	3
ID	1214520	ID	1645528	1
ID	1214520	ID	1646452	1
ID	1214520	ID	1648473	13
ID	1214520	ID	1649378	1
ID	1214520	ID	1650298	1
ID	1214520	ID	1650317	1
ID	1214520	ID	1650357	2
ID	1214520	ID	1650527	1
