gadm_id_0	gadm_id_1	n
17	21	1
35	1	10
35	2	645
35	4	1
39	2	20
39	3	11
39	5	6
39	6	1
39	8	1
39	9	1
39	11	3
39	12	1
39	13	19
39	14	2
39	16	989
39	17	4
39	19	3
39	20	2
39	21	20
39	22	1
39	23	4
39	24	4
106	1	231
106	2	266
106	3	25
106	4	439
106	5	37
106	6	16
106	7	34
106	8	3269
106	9	40
106	10	4737
106	11	742
106	12	1670
106	13	126
106	14	54
106	15	67
106	16	92
106	17	8
106	18	121
106	19	1
106	20	27
106	21	177
106	22	133
106	23	116
106	24	133
106	25	2
106	26	393
106	27	96
106	28	56
106	29	166
106	30	231
106	31	94
106	32	263
106	33	1097
123	1	1
123	4	10
123	6	6
123	7	2
123	8	36
123	11	2
123	12	29
123	13	709
123	14	1
123	15	2
123	16	1
136	1	6316
136	2	754
136	3	421
136	4	1321
136	5	584
136	6	1220
136	7	1435
136	8	1130
136	9	4770
136	10	575
136	11	459
136	12	32959
136	13	903
154	1	8
154	2	5
154	4	5
154	5	1
154	7	6
154	8	171
154	9	9
154	10	2
154	11	23
154	12	3
154	13	2
154	14	381
177	2	22
177	4	2
177	5	20
177	8	3
177	9	13
177	10	4
177	12	24
177	13	86
177	14	9
177	15	14
177	16	6
177	17	148
177	18	25
177	19	1
177	20	12
177	22	1
177	24	87
177	25	368
177	27	25
177	28	163
177	29	9
177	31	1
177	32	3
177	34	7
177	35	4
177	36	230
177	37	14
177	38	4
177	39	4
177	40	967
177	41	80
177	42	31
177	43	119
177	44	24
177	46	204
177	47	4616
177	48	8
177	49	37
177	50	3
177	51	69
177	52	71
177	53	3
177	54	10
177	55	62
177	56	3
177	57	3
177	58	2
177	59	33
177	60	26
177	61	13
177	62	19
177	63	1
177	64	10
177	65	4
177	66	3
177	67	2
177	68	1
177	70	3
177	71	15
177	72	11
177	73	2
177	74	3
177	75	8
177	77	15
177	78	5
177	79	7
177	80	7
177	81	50
177	82	77
203	0	44785
226	1	2
226	2	1
226	3	26460
226	4	29
226	5	68
226	6	5
226	7	11
226	8	73
226	9	3443
226	10	117
226	11	702
226	12	45
226	13	29
226	14	6
226	15	111
226	16	2999
226	17	6
226	18	159
226	19	29
226	20	46
226	21	41
226	22	1
226	23	497
226	24	1
226	25	186
226	26	2191
226	27	29
226	28	986
226	29	52
226	30	183
226	31	25
226	32	25
226	33	1
226	34	24
226	35	1136
226	36	4486
226	37	160
226	38	7
226	40	106
226	41	240
226	42	23
226	43	57
226	44	4
226	45	865
226	46	80
226	47	15
226	48	149
226	49	21
226	50	16
226	51	18
226	52	46
226	53	70
226	54	17
226	55	24
226	56	82
226	57	67
226	58	10
226	59	3
226	60	27
226	61	4
226	62	17
226	63	4
226	65	2998
226	66	15
226	67	11
226	68	67
226	69	67
226	70	174
226	71	61
226	72	10
226	73	470
226	74	73
226	75	1
226	76	40
226	77	24
226	78	3
247	1	1335
247	2	6346
247	3	226
247	4	2419
247	5	538
247	6	456
247	7	5
247	8	76
		11225
