gadm_id_0	gadm_id_1	id_subfield	n
17	21	24	1
35	1	108	1
35	1	123	2
35	1	14	3
35	1	147	1
35	1	158	1
35	1	160	2
35	2	1	3
35	2	100	8
35	2	101	1
35	2	102	4
35	2	104	9
35	2	105	13
35	2	106	4
35	2	107	40
35	2	108	38
35	2	109	1
35	2	11	1
35	2	110	3
35	2	111	2
35	2	112	2
35	2	113	8
35	2	114	1
35	2	115	3
35	2	116	10
35	2	117	5
35	2	118	2
35	2	119	4
35	2	12	3
35	2	120	2
35	2	121	2
35	2	122	4
35	2	123	2
35	2	124	4
35	2	126	15
35	2	127	6
35	2	128	5
35	2	129	1
35	2	13	4
35	2	131	1
35	2	134	1
35	2	138	2
35	2	14	20
35	2	140	3
35	2	141	4
35	2	142	3
35	2	145	22
35	2	146	4
35	2	147	13
35	2	148	8
35	2	15	10
35	2	150	7
35	2	151	14
35	2	152	5
35	2	153	3
35	2	154	20
35	2	156	6
35	2	158	5
35	2	159	9
35	2	16	1
35	2	160	11
35	2	161	15
35	2	162	4
35	2	163	1
35	2	164	5
35	2	165	14
35	2	166	12
35	2	167	2
35	2	168	3
35	2	169	12
35	2	17	3
35	2	171	2
35	2	172	1
35	2	173	1
35	2	175	3
35	2	21	2
35	2	22	5
35	2	24	5
35	2	25	1
35	2	26	2
35	2	27	7
35	2	28	4
35	2	29	1
35	2	3	2
35	2	30	6
35	2	31	9
35	2	33	1
35	2	37	7
35	2	38	1
35	2	4	1
35	2	40	29
35	2	42	5
35	2	43	4
35	2	47	1
35	2	49	1
35	2	5	2
35	2	51	2
35	2	58	6
35	2	59	1
35	2	62	3
35	2	65	1
35	2	66	1
35	2	67	1
35	2	69	3
35	2	7	1
35	2	71	25
35	2	74	4
35	2	75	1
35	2	76	1
35	2	78	2
35	2	79	1
35	2	83	12
35	2	86	2
35	2	88	2
35	2	9	2
35	2	90	6
35	2	92	5
35	2	93	2
35	2	94	1
35	2	95	3
35	2	96	1
35	4	150	1
39	2	115	1
39	2	118	1
39	2	126	1
39	2	127	7
39	2	140	1
39	2	141	1
39	2	146	1
39	2	83	3
39	2	90	3
39	2	94	1
39	3	115	1
39	3	127	2
39	3	146	1
39	3	159	1
39	3	160	3
39	3	90	3
39	5	127	1
39	5	159	2
39	5	43	1
39	5	83	1
39	5	96	1
39	6	155	1
39	8	123	1
39	9	96	1
39	11	127	1
39	11	173	1
39	11	92	1
39	12	127	1
39	13	100	1
39	13	113	1
39	13	116	2
39	13	121	2
39	13	124	1
39	13	127	1
39	13	131	1
39	13	141	2
39	13	90	6
39	13	96	2
39	14	145	1
39	14	147	1
39	16	1	16
39	16	100	1
39	16	102	5
39	16	103	3
39	16	104	2
39	16	105	5
39	16	107	1
39	16	108	39
39	16	109	4
39	16	11	4
39	16	111	5
39	16	113	8
39	16	115	5
39	16	116	4
39	16	117	2
39	16	118	2
39	16	12	1
39	16	120	4
39	16	121	13
39	16	122	5
39	16	123	6
39	16	124	3
39	16	126	2
39	16	127	135
39	16	128	2
39	16	129	2
39	16	13	5
39	16	130	2
39	16	131	1
39	16	136	5
39	16	137	7
39	16	138	1
39	16	139	17
39	16	14	6
39	16	140	2
39	16	141	56
39	16	142	4
39	16	144	5
39	16	145	42
39	16	146	1
39	16	147	11
39	16	148	4
39	16	149	19
39	16	150	17
39	16	151	15
39	16	152	2
39	16	155	1
39	16	156	1
39	16	158	1
39	16	159	26
39	16	16	1
39	16	160	9
39	16	161	2
39	16	162	2
39	16	164	1
39	16	168	1
39	16	169	2
39	16	17	1
39	16	173	1
39	16	18	4
39	16	2	11
39	16	22	4
39	16	25	15
39	16	26	4
39	16	3	16
39	16	31	1
39	16	34	1
39	16	35	1
39	16	36	3
39	16	4	7
39	16	40	2
39	16	42	2
39	16	43	3
39	16	48	5
39	16	49	3
39	16	5	5
39	16	55	1
39	16	57	2
39	16	58	2
39	16	59	2
39	16	6	2
39	16	62	4
39	16	65	3
39	16	66	1
39	16	68	3
39	16	69	5
39	16	7	8
39	16	70	1
39	16	71	7
39	16	74	3
39	16	76	4
39	16	77	2
39	16	78	1
39	16	79	1
39	16	81	2
39	16	82	2
39	16	83	60
39	16	84	1
39	16	85	1
39	16	86	2
39	16	88	3
39	16	89	3
39	16	9	2
39	16	90	108
39	16	92	14
39	16	93	25
39	16	94	1
39	16	95	6
39	16	96	69
39	16	98	1
39	17	127	1
39	17	151	1
39	17	90	2
39	19	121	2
39	19	93	1
39	20	145	2
39	21	108	4
39	21	111	1
39	21	113	1
39	21	116	1
39	21	121	1
39	21	127	2
39	21	149	1
39	21	43	2
39	21	49	1
39	21	59	1
39	21	69	1
39	21	83	1
39	21	88	1
39	21	90	1
39	21	96	1
39	22	159	1
39	23	108	1
39	23	48	1
39	23	7	1
39	23	83	1
39	24	121	1
39	24	127	2
39	24	90	1
106	1	1	4
106	1	107	1
106	1	108	4
106	1	109	3
106	1	11	1
106	1	113	1
106	1	115	1
106	1	116	2
106	1	122	1
106	1	123	2
106	1	127	4
106	1	128	4
106	1	129	1
106	1	13	9
106	1	136	1
106	1	137	2
106	1	139	2
106	1	14	14
106	1	140	2
106	1	141	2
106	1	145	7
106	1	146	2
106	1	147	3
106	1	148	2
106	1	15	17
106	1	150	1
106	1	152	9
106	1	153	4
106	1	155	1
106	1	156	1
106	1	157	3
106	1	158	3
106	1	159	5
106	1	160	6
106	1	162	2
106	1	163	2
106	1	169	8
106	1	17	2
106	1	171	2
106	1	173	3
106	1	175	1
106	1	176	4
106	1	18	5
106	1	19	1
106	1	2	2
106	1	21	2
106	1	22	5
106	1	24	1
106	1	25	1
106	1	26	3
106	1	27	3
106	1	28	10
106	1	29	1
106	1	3	7
106	1	31	3
106	1	37	4
106	1	4	2
106	1	40	1
106	1	42	1
106	1	62	3
106	1	65	1
106	1	71	2
106	1	83	6
106	1	86	2
106	1	88	1
106	1	9	6
106	1	90	5
106	1	92	1
106	1	93	3
106	2	1	2
106	2	100	7
106	2	105	9
106	2	106	1
106	2	107	7
106	2	108	4
106	2	111	1
106	2	113	4
106	2	115	1
106	2	116	4
106	2	120	1
106	2	121	2
106	2	123	4
106	2	124	3
106	2	125	1
106	2	127	4
106	2	128	8
106	2	129	3
106	2	130	1
106	2	134	2
106	2	136	4
106	2	137	1
106	2	139	1
106	2	14	2
106	2	140	2
106	2	141	5
106	2	144	1
106	2	145	9
106	2	146	3
106	2	147	6
106	2	148	17
106	2	149	2
106	2	15	5
106	2	150	4
106	2	151	8
106	2	152	3
106	2	156	1
106	2	159	5
106	2	160	1
106	2	162	2
106	2	163	1
106	2	169	5
106	2	172	2
106	2	173	3
106	2	174	2
106	2	18	4
106	2	21	1
106	2	26	7
106	2	27	1
106	2	28	3
106	2	3	16
106	2	35	1
106	2	37	2
106	2	39	1
106	2	40	1
106	2	42	4
106	2	43	1
106	2	45	1
106	2	5	1
106	2	51	1
106	2	53	2
106	2	58	3
106	2	59	2
106	2	62	2
106	2	65	1
106	2	69	3
106	2	7	5
106	2	77	1
106	2	83	5
106	2	85	1
106	2	86	1
106	2	87	1
106	2	89	1
106	2	90	11
106	2	92	4
106	2	94	2
106	2	96	12
106	3	1	2
106	3	124	1
106	3	14	6
106	3	140	2
106	3	145	1
106	3	148	2
106	3	15	1
106	3	150	2
106	3	169	1
106	3	173	2
106	3	31	1
106	3	5	1
106	3	69	2
106	3	71	1
106	4	1	1
106	4	100	9
106	4	105	2
106	4	106	1
106	4	107	4
106	4	108	1
106	4	109	3
106	4	111	1
106	4	113	8
106	4	114	2
106	4	116	4
106	4	12	1
106	4	121	1
106	4	122	2
106	4	124	3
106	4	127	3
106	4	128	2
106	4	13	5
106	4	136	1
106	4	14	35
106	4	140	2
106	4	141	1
106	4	142	1
106	4	145	5
106	4	146	1
106	4	148	1
106	4	15	21
106	4	150	10
106	4	151	2
106	4	152	3
106	4	153	4
106	4	154	7
106	4	155	18
106	4	156	8
106	4	157	4
106	4	158	3
106	4	159	7
106	4	16	5
106	4	160	2
106	4	162	2
106	4	163	1
106	4	164	1
106	4	169	32
106	4	17	4
106	4	170	1
106	4	171	3
106	4	172	3
106	4	173	57
106	4	174	1
106	4	175	20
106	4	176	4
106	4	18	2
106	4	2	1
106	4	21	12
106	4	22	5
106	4	23	2
106	4	24	12
106	4	27	6
106	4	28	8
106	4	3	2
106	4	30	3
106	4	31	6
106	4	32	3
106	4	33	1
106	4	35	9
106	4	37	6
106	4	39	3
106	4	4	2
106	4	42	1
106	4	45	1
106	4	5	4
106	4	58	2
106	4	6	1
106	4	61	1
106	4	62	1
