gadm_id_0	gadm_id_1	year	n
17	21	2009	1
35	1	2004	2
35	1	2007	1
35	1	2008	1
35	1	2009	3
35	1	2012	1
35	1	2013	2
35	2	2003	1
35	2	2004	25
35	2	2005	28
35	2	2006	29
35	2	2007	41
35	2	2008	52
35	2	2009	59
35	2	2010	68
35	2	2011	53
35	2	2012	69
35	2	2013	105
35	2	2014	115
35	4	2007	1
39	2	2007	1
39	2	2008	1
39	2	2009	6
39	2	2010	3
39	2	2011	1
39	2	2012	1
39	2	2013	4
39	2	2014	3
39	3	2007	1
39	3	2008	3
39	3	2010	1
39	3	2011	2
39	3	2012	1
39	3	2013	3
39	5	2006	1
39	5	2009	1
39	5	2010	2
39	5	2012	1
39	5	2014	1
39	6	2014	1
39	8	2012	1
39	9	2005	1
39	11	2006	2
39	11	2007	1
39	12	2009	1
39	13	2004	2
39	13	2006	1
39	13	2008	5
39	13	2009	2
39	13	2010	3
39	13	2012	5
39	13	2013	1
39	14	2012	1
39	14	2014	1
39	16	2003	1
39	16	2004	40
39	16	2005	35
39	16	2006	39
39	16	2007	68
39	16	2008	67
39	16	2009	104
39	16	2010	92
39	16	2011	120
39	16	2012	134
39	16	2013	144
39	16	2014	145
39	17	2010	1
39	17	2011	1
39	17	2013	2
39	19	2012	1
39	19	2013	1
39	19	2014	1
39	20	2012	1
39	20	2013	1
39	21	2009	1
39	21	2011	3
39	21	2012	4
39	21	2013	6
39	21	2014	6
39	22	2011	1
39	23	2011	1
39	23	2012	1
39	23	2014	2
39	24	2010	1
39	24	2011	1
39	24	2012	1
39	24	2013	1
106	1	2004	4
106	1	2005	9
106	1	2006	8
106	1	2007	16
106	1	2008	9
106	1	2009	23
106	1	2010	21
106	1	2011	26
106	1	2012	30
106	1	2013	38
106	1	2014	47
106	2	2004	10
106	2	2005	10
106	2	2006	14
106	2	2007	12
106	2	2008	24
106	2	2009	20
106	2	2010	21
106	2	2011	30
106	2	2012	43
106	2	2013	36
106	2	2014	46
106	3	2005	1
106	3	2007	4
106	3	2009	1
106	3	2010	2
106	3	2011	6
106	3	2012	1
