gadm_id_0	id_subfield	n
17	24	1
35	1	3
35	100	8
35	101	1
35	102	4
35	104	9
35	105	13
35	106	4
35	107	40
35	108	38
35	109	1
35	11	1
35	110	3
35	111	2
35	112	2
35	113	8
35	114	1
35	115	3
35	116	10
35	117	5
35	118	2
35	119	4
35	12	3
35	120	2
35	121	2
35	122	4
35	123	4
35	124	4
35	126	15
35	127	6
35	128	5
35	129	1
35	13	4
35	131	1
35	134	1
35	138	2
35	14	23
35	140	3
35	141	4
35	142	3
35	145	22
35	146	4
35	147	14
35	148	8
35	15	10
35	150	7
35	151	14
35	152	5
35	153	3
35	154	20
35	156	6
35	158	6
35	159	9
35	16	1
35	160	13
35	161	15
35	162	4
35	163	1
35	164	5
35	165	14
35	166	12
35	167	2
35	168	3
35	169	12
35	17	3
35	171	2
35	172	1
35	173	1
35	175	3
35	21	2
35	22	5
35	24	5
35	25	1
35	26	2
35	27	7
35	28	4
35	29	1
35	3	2
35	30	6
35	31	9
35	33	1
35	37	7
35	38	1
35	4	1
35	40	29
35	42	5
35	43	4
35	47	1
35	49	1
35	5	2
35	51	2
35	58	6
35	59	1
35	62	3
35	65	1
35	66	1
35	67	1
35	69	3
35	7	1
35	71	25
35	74	4
35	75	1
35	76	1
35	78	2
35	79	1
35	83	12
35	86	2
35	88	2
35	9	2
35	90	6
35	92	5
35	93	2
35	94	1
35	95	3
35	96	1
39	1	16
39	100	2
39	102	5
39	103	3
39	104	2
39	105	5
39	107	1
39	108	41
39	109	4
39	11	4
39	111	5
39	113	10
39	115	5
39	116	6
39	117	2
39	118	3
39	12	1
39	120	4
39	121	14
39	122	5
39	123	7
39	124	4
39	126	3
39	127	145
39	128	2
39	129	2
39	13	5
39	130	2
39	131	2
39	136	5
39	137	7
39	138	1
39	139	17
39	14	6
39	140	3
39	141	57
39	142	4
39	144	5
39	145	43
39	146	2
39	147	12
39	148	4
39	149	19
39	150	17
39	151	15
39	152	2
39	155	2
39	156	1
39	158	1
39	159	29
39	16	1
39	160	12
39	161	2
39	162	2
39	164	1
39	168	1
39	169	2
39	17	1
39	173	2
39	18	4
39	2	11
39	22	4
39	25	15
39	26	4
39	3	16
39	31	1
39	34	1
39	35	1
39	36	3
39	4	7
39	40	2
39	42	2
39	43	5
39	48	6
39	49	4
39	5	5
39	55	1
39	57	2
39	58	2
39	59	3
39	6	2
39	62	4
39	65	3
39	66	1
39	68	3
39	69	6
39	7	9
39	70	1
39	71	7
39	74	3
39	76	4
39	77	2
39	78	1
39	79	1
39	81	2
39	82	2
39	83	64
39	84	1
39	85	1
39	86	2
39	88	4
39	89	3
39	9	2
39	90	118
39	92	14
39	93	25
39	94	1
39	95	6
39	96	72
39	98	1
106	1	223
106	10	8
106	100	279
106	101	11
106	102	49
106	103	47
106	104	13
106	105	111
106	106	14
106	107	180
106	108	94
106	109	34
106	11	47
106	110	4
106	111	58
106	112	2
106	113	108
106	114	23
106	115	118
106	116	200
106	117	25
106	118	12
106	119	6
106	12	20
106	120	14
106	121	47
106	122	138
106	123	51
106	124	237
106	125	9
106	126	21
106	127	324
106	128	167
106	129	107
106	13	202
106	130	4
106	131	8
106	132	1
106	133	10
106	134	14
106	136	66
106	137	41
106	138	9
106	139	50
106	14	326
106	140	31
106	141	114
106	142	17
106	143	3
106	144	16
106	145	336
106	146	69
106	147	145
106	148	165
106	149	31
106	15	374
106	150	390
106	151	162
106	152	121
106	153	99
106	154	49
106	155	183
106	156	61
106	157	40
106	158	94
106	159	295
106	16	51
106	160	223
106	161	20
106	162	170
106	163	47
106	164	23
106	165	33
106	166	26
106	167	14
106	168	11
106	169	265
106	17	69
106	170	27
106	171	51
106	172	41
106	173	611
106	174	16
106	175	146
106	176	49
106	18	94
106	19	8
106	2	98
106	21	166
106	22	154
106	23	44
106	24	152
106	25	122
106	26	83
106	27	126
106	28	259
106	29	37
106	3	151
106	30	56
106	31	253
106	32	66
106	33	4
106	34	5
106	35	170
106	36	21
106	37	205
106	38	14
106	39	26
106	4	131
106	40	20
106	41	7
106	42	144
106	43	11
106	45	3
106	47	3
106	48	43
106	49	9
106	5	244
106	50	1
106	51	28
106	52	2
106	53	2
106	55	1
106	56	5
106	57	19
106	58	105
106	59	51
106	6	11
106	61	1
106	62	181
106	63	9
106	64	2
106	65	36
106	66	4
106	67	5
106	68	1
106	69	61
106	7	61
106	70	12
106	71	236
106	73	14
106	74	38
106	75	13
106	76	30
106	77	21
106	78	40
106	79	3
106	8	7
106	80	3
106	81	4
106	82	25
106	83	325
106	84	24
106	85	6
106	86	60
106	87	11
106	88	41
106	89	40
106	9	54
106	90	338
106	92	104
106	93	295
106	94	17
106	95	39
106	96	128
106	97	37
106	98	6
106	99	26
123	1	51
123	100	6
123	101	2
123	102	2
123	103	3
123	106	2
123	107	2
123	108	15
123	109	2
123	11	3
123	111	6
123	113	9
123	115	6
123	116	5
123	117	1
123	12	1
123	120	1
123	121	10
123	122	4
123	124	1
123	127	108
123	128	1
123	129	2
123	136	1
123	137	6
123	139	12
123	14	7
123	141	33
123	144	3
123	145	43
123	146	2
123	147	16
123	148	3
123	149	4
123	15	2
123	150	22
123	151	21
123	152	3
123	155	16
123	158	3
123	159	22
123	160	13
123	162	10
123	165	2
123	169	2
123	171	1
123	18	2
123	2	18
123	24	3
123	25	24
123	26	6
123	3	14
123	37	4
123	39	1
123	4	3
123	41	2
123	43	3
123	48	4
123	5	11
123	58	2
123	59	5
123	62	1
123	67	3
123	7	9
123	71	3
123	74	14
123	76	1
123	78	1
123	82	1
123	83	31
123	86	5
123	88	1
123	9	1
123	90	52
123	92	25
123	93	9
123	95	1
123	96	15
123	98	1
136	1	385
136	10	29
136	100	327
136	101	237
136	102	208
136	103	82
136	104	40
136	105	190
136	106	39
136	107	346
136	108	677
136	109	204
136	11	48
136	110	32
136	111	261
136	112	49
136	113	380
136	114	141
136	115	369
136	116	667
136	117	138
136	118	105
136	119	115
136	12	94
136	120	147
136	121	126
136	122	572
136	123	287
136	124	107
136	125	66
136	126	132
136	127	447
136	128	210
136	129	30
136	13	1172
136	130	14
136	131	9
136	132	29
136	133	18
136	134	45
136	135	1
136	136	119
136	137	41
136	138	30
136	139	168
136	14	1782
136	140	63
136	141	305
136	142	76
136	143	15
136	144	40
136	145	204
136	146	133
136	147	142
136	148	197
136	149	8
136	15	2765
136	150	820
136	151	144
136	152	464
136	153	274
136	154	1161
136	155	567
136	156	321
136	157	209
136	158	1613
136	159	873
136	16	615
136	160	157
136	161	30
136	162	181
136	163	46
136	164	228
136	165	196
136	166	314
136	167	64
136	168	85
136	169	1225
136	17	627
136	170	17
136	171	355
136	172	123
136	173	1400
136	174	51
136	175	368
136	176	305
136	18	217
136	19	118
136	2	274
136	20	43
136	21	520
136	22	918
136	23	215
136	24	1665
136	25	375
136	26	152
136	27	699
136	28	1502
136	29	37
136	3	258
136	30	159
136	31	2422
136	32	408
136	33	58
136	34	54
136	35	408
136	36	130
136	37	1904
136	38	196
136	39	63
136	4	727
136	40	95
136	41	21
136	42	39
136	43	8
136	44	1
136	45	22
136	46	1
136	47	6
136	48	26
136	49	36
136	5	183
136	50	18
136	51	63
136	52	3
136	53	9
136	54	2
136	55	4
136	56	33
136	57	18
136	58	883
136	59	198
136	6	37
136	60	2
136	61	4
136	62	455
136	63	67
136	64	17
136	65	78
136	66	57
136	67	111
136	68	12
136	69	74
136	7	86
136	70	8
136	71	1812
136	72	5
136	73	13
136	74	29
136	75	129
136	76	46
136	77	33
136	78	50
136	79	57
136	8	17
136	80	13
136	81	22
136	82	69
136	83	1207
136	84	110
136	85	25
136	86	311
136	87	48
136	88	92
136	89	106
136	9	231
136	90	847
136	91	15
136	92	114
136	93	438
136	94	40
136	95	181
136	96	148
136	97	45
136	98	54
136	99	100
154	1	20
154	100	4
154	102	5
154	103	1
154	104	1
154	105	2
154	106	1
154	107	10
154	108	16
154	109	1
154	111	6
154	112	1
154	113	5
154	114	1
154	115	7
154	116	22
154	117	7
154	119	1
154	120	4
154	121	4
154	123	1
154	127	45
154	128	1
154	129	3
154	13	9
154	137	1
154	139	5
154	14	3
154	141	15
154	142	2
154	144	1
154	145	29
154	146	5
154	147	8
154	148	3
154	149	10
154	15	11
154	150	32
154	151	3
154	152	1
154	153	1
154	154	5
154	155	8
154	156	3
154	158	1
154	159	8
154	160	17
154	161	6
154	162	8
154	163	4
154	164	1
154	165	2
154	169	2
154	173	9
154	175	6
154	18	7
154	2	6
154	21	1
154	23	1
154	24	8
154	25	2
154	27	3
154	28	3
154	3	2
154	30	1
154	31	4
154	32	7
154	33	2
154	35	3
154	37	8
154	4	2
154	42	7
154	43	2
154	45	1
154	48	13
154	5	3
154	50	1
154	51	2
154	52	2
154	59	1
154	6	3
154	69	1
154	7	13
154	70	1
154	71	4
154	75	1
154	76	1
154	83	16
154	86	3
154	89	1
154	90	34
154	92	6
154	96	12
154	98	1
154	99	1
177	1	311
177	10	1
177	100	124
177	101	2
177	102	28
177	103	66
