gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	n
35	1	35	2	1
35	1	226	3	2
35	2	35	1	1
35	2	35	4	1
35	2	106	4	1
35	2	106	8	1
35	2	106	10	1
35	2	106	12	3
35	2	106	16	1
35	2	136	1	6
35	2	136	4	1
35	2	136	5	1
35	2	136	7	2
35	2	136	9	3
35	2	136	10	3
35	2	136	12	26
35	2	136	13	2
35	2	177	47	2
35	2	203	0	22
35	2	226	3	5
35	2	226	9	2
35	2	226	36	1
35	2	247	2	1
35	4	35	2	1
39	2	39	16	9
39	2	39	24	1
39	2	226	3	1
39	2	247	4	1
39	3	39	16	6
39	3	39	24	2
39	3	203	0	1
39	5	39	16	1
39	6	226	16	1
39	9	39	16	1
39	11	39	16	1
39	11	123	13	1
39	12	226	70	1
39	12	247	4	1
39	13	39	16	5
39	13	39	19	1
39	13	106	8	1
39	13	136	12	2
39	13	226	3	1
39	13	226	18	1
39	13	226	35	1
39	13	247	4	2
39	16	39	2	9
39	16	39	3	6
39	16	39	5	1
39	16	39	9	1
39	16	39	11	1
39	16	39	13	5
39	16	39	17	2
39	16	39	19	3
39	16	39	20	2
39	16	39	21	6
39	16	39	23	2
39	16	39	24	3
39	16	106	2	3
39	16	106	8	18
39	16	106	10	13
39	16	106	21	3
39	16	123	8	1
39	16	123	13	29
39	16	136	2	1
39	16	136	9	6
39	16	136	10	3
39	16	136	12	14
39	16	154	1	1
39	16	154	8	2
39	16	154	14	6
39	16	177	25	1
39	16	177	28	3
39	16	177	36	1
39	16	177	43	1
39	16	177	47	26
39	16	177	55	1
39	16	203	0	13
39	16	226	3	70
39	16	226	9	12
39	16	226	10	1
39	16	226	11	1
39	16	226	16	9
39	16	226	23	1
39	16	226	26	3
39	16	226	32	1
39	16	226	35	13
39	16	226	36	4
39	16	226	45	1
39	16	226	48	1
39	16	226	53	1
39	16	226	65	2
39	16	226	70	4
39	16	226	73	2
39	16	247	1	9
39	16	247	2	37
39	16	247	4	19
39	16	247	5	1
39	16	247	6	3
39	17	39	16	2
39	19	39	13	1
39	19	39	16	3
39	20	39	16	2
39	21	39	16	6
39	21	39	23	1
39	21	106	8	1
39	21	106	26	1
39	21	123	13	1
39	21	136	9	2
39	21	136	12	2
39	21	177	47	1
39	21	177	52	1
39	21	226	3	2
39	21	226	9	1
39	21	247	4	1
39	22	226	36	1
39	23	39	16	2
39	23	39	21	1
39	23	247	4	1
39	24	39	2	1
39	24	39	3	2
39	24	39	16	3
106	1	106	2	3
106	1	106	4	4
106	1	106	8	12
106	1	106	10	19
106	1	106	11	2
106	1	106	12	4
106	1	106	19	1
106	1	106	21	1
106	1	106	30	1
106	1	106	32	1
106	1	106	33	4
106	1	136	1	4
106	1	136	7	1
106	1	136	9	7
106	1	136	10	1
106	1	136	12	15
106	1	177	37	1
106	1	177	47	1
106	1	203	0	2
106	1	226	3	1
106	1	226	15	1
106	1	247	4	1
106	2	39	16	3
106	2	106	1	3
106	2	106	4	4
106	2	106	6	2
106	2	106	7	3
106	2	106	8	29
106	2	106	10	11
106	2	106	11	10
106	2	106	12	12
106	2	106	16	2
106	2	106	21	7
106	2	106	22	2
106	2	106	26	9
106	2	106	30	2
106	2	106	31	1
106	2	106	32	3
106	2	106	33	2
106	2	136	7	1
106	2	136	9	2
106	2	136	10	2
106	2	136	12	2
106	2	136	13	1
106	2	177	28	1
106	2	177	36	1
106	2	177	47	1
106	2	177	52	1
106	2	203	0	4
106	2	226	3	10
106	2	226	9	3
106	2	226	10	2
106	2	226	16	1
106	2	226	17	1
106	2	226	18	1
106	2	226	53	1
106	2	226	54	1
106	2	247	1	1
106	2	247	2	1
106	2	247	4	1
106	3	106	6	1
106	3	106	8	1
106	3	106	10	1
106	3	136	7	1
106	3	136	12	3
106	3	203	0	1
106	4	35	2	1
106	4	106	1	4
106	4	106	2	4
106	4	106	7	1
106	4	106	8	36
106	4	106	10	52
106	4	106	11	5
106	4	106	12	7
106	4	106	18	1
106	4	106	21	3
106	4	106	23	2
106	4	106	26	8
106	4	106	30	4
106	4	106	31	1
106	4	106	32	1
106	4	106	33	3
106	4	136	1	3
106	4	136	9	3
106	4	136	12	10
106	4	154	14	1
106	4	177	36	1
106	4	177	40	1
106	4	177	44	1
106	4	177	47	2
106	4	203	0	2
106	4	226	3	4
106	4	226	36	1
106	4	247	2	2
106	5	106	10	4
106	5	106	12	1
106	5	106	18	1
106	5	106	30	1
106	5	106	31	1
106	5	136	12	2
106	6	106	2	2
106	6	106	3	1
106	6	106	10	4
106	6	106	11	4
106	6	106	26	3
106	6	106	29	2
106	6	106	30	2
106	6	106	32	1
106	6	136	10	2
106	6	136	12	2
106	6	154	14	1
106	6	177	24	2
106	6	177	47	2
106	6	226	3	2
106	7	106	2	3
106	7	106	4	1
106	7	106	8	3
106	7	106	10	5
106	7	106	11	1
106	7	106	12	1
106	7	106	23	2
106	7	106	33	2
106	7	123	13	1
106	7	136	9	1
