gadm_id0_1	gadm_id1_1	gadm_id0_2	gadm_id1_2	id_subfield	n
35	1	35	2	108	1
35	1	226	3	14	1
35	1	226	3	160	1
35	2	35	1	108	1
35	2	35	4	150	1
35	2	106	4	145	1
35	2	106	8	107	1
35	2	106	10	40	1
35	2	106	12	104	1
35	2	106	12	145	1
35	2	106	12	151	1
35	2	106	16	111	1
35	2	136	1	104	1
35	2	136	1	106	1
35	2	136	1	14	1
35	2	136	1	141	1
35	2	136	1	158	1
35	2	136	1	16	1
35	2	136	4	109	1
35	2	136	5	119	1
35	2	136	7	123	1
35	2	136	7	158	1
35	2	136	9	116	1
35	2	136	9	163	1
35	2	136	9	47	1
35	2	136	10	145	1
35	2	136	10	162	2
35	2	136	12	104	1
35	2	136	12	106	3
35	2	136	12	107	1
35	2	136	12	109	1
35	2	136	12	117	2
35	2	136	12	119	1
35	2	136	12	13	1
35	2	136	12	14	1
35	2	136	12	151	1
35	2	136	12	156	1
35	2	136	12	158	2
35	2	136	12	16	1
35	2	136	12	160	2
35	2	136	12	162	1
35	2	136	12	22	1
35	2	136	12	28	1
35	2	136	12	71	1
35	2	136	12	83	1
35	2	136	12	90	3
35	2	136	13	127	1
35	2	136	13	90	1
35	2	177	47	107	1
35	2	177	47	116	1
35	2	203	0	100	2
35	2	203	0	104	2
35	2	203	0	105	1
35	2	203	0	106	1
35	2	203	0	107	2
35	2	203	0	108	1
35	2	203	0	116	1
35	2	203	0	119	1
35	2	203	0	121	1
35	2	203	0	142	1
35	2	203	0	148	1
35	2	203	0	152	1
35	2	203	0	154	2
35	2	203	0	156	1
35	2	203	0	169	1
35	2	203	0	71	1
35	2	203	0	74	1
35	2	203	0	93	1
35	2	226	3	107	2
35	2	226	3	116	1
35	2	226	3	160	2
35	2	226	9	160	2
35	2	226	36	126	1
35	2	247	2	104	1
35	4	35	2	150	1
39	2	39	16	115	1
39	2	39	16	127	3
39	2	39	16	141	1
39	2	39	16	146	1
39	2	39	16	83	1
39	2	39	16	90	1
39	2	39	16	94	1
39	2	39	24	127	1
39	2	226	3	127	1
39	2	247	4	90	1
39	3	39	16	115	1
39	3	39	16	127	2
39	3	39	16	159	1
39	3	39	16	90	2
39	3	39	24	127	1
39	3	39	24	90	1
39	3	203	0	90	1
39	5	39	16	43	1
39	6	226	16	155	1
39	9	39	16	96	1
39	11	39	16	92	1
39	11	123	13	127	1
39	12	226	70	127	1
39	12	247	4	127	1
39	13	39	16	121	2
39	13	39	16	127	1
39	13	39	16	141	1
39	13	39	16	90	1
39	13	39	19	121	1
39	13	106	8	113	1
39	13	136	12	113	1
39	13	136	12	90	1
39	13	226	3	90	1
39	13	226	18	113	1
39	13	226	35	90	1
39	13	247	4	90	1
39	13	247	4	96	1
39	16	39	2	115	1
39	16	39	2	127	3
39	16	39	2	141	1
39	16	39	2	146	1
39	16	39	2	83	1
39	16	39	2	90	1
39	16	39	2	94	1
39	16	39	3	115	1
39	16	39	3	127	2
39	16	39	3	159	1
39	16	39	3	90	2
39	16	39	5	43	1
39	16	39	9	96	1
39	16	39	11	92	1
39	16	39	13	121	2
39	16	39	13	127	1
39	16	39	13	141	1
39	16	39	13	90	1
39	16	39	17	151	1
39	16	39	17	90	1
39	16	39	19	121	2
39	16	39	19	93	1
39	16	39	20	145	2
39	16	39	21	108	2
39	16	39	21	111	1
39	16	39	21	116	1
39	16	39	21	149	1
39	16	39	21	96	1
39	16	39	23	108	1
39	16	39	23	83	1
39	16	39	24	121	1
39	16	39	24	127	2
39	16	106	2	90	1
39	16	106	2	96	2
39	16	106	8	102	1
39	16	106	8	127	4
39	16	106	8	145	1
39	16	106	8	71	1
39	16	106	8	83	1
39	16	106	8	90	3
39	16	106	8	93	4
39	16	106	8	96	3
39	16	106	10	108	1
39	16	106	10	13	1
39	16	106	10	141	1
39	16	106	10	145	3
39	16	106	10	147	2
39	16	106	10	25	1
39	16	106	10	26	1
39	16	106	10	4	1
39	16	106	10	83	1
39	16	106	10	93	1
39	16	106	21	105	1
39	16	106	21	129	1
39	16	106	21	90	1
39	16	123	8	25	1
39	16	123	13	1	1
39	16	123	13	102	1
39	16	123	13	108	3
39	16	123	13	12	1
39	16	123	13	127	5
39	16	123	13	139	1
39	16	123	13	141	2
39	16	123	13	145	3
39	16	123	13	159	1
39	16	123	13	162	1
39	16	123	13	2	1
39	16	123	13	3	2
39	16	123	13	83	3
39	16	123	13	92	1
39	16	123	13	93	2
39	16	123	13	96	1
39	16	136	2	4	1
39	16	136	9	147	1
39	16	136	9	3	2
39	16	136	9	9	1
39	16	136	9	90	1
39	16	136	9	96	1
39	16	136	10	25	1
39	16	136	10	96	2
39	16	136	12	105	1
39	16	136	12	127	3
39	16	136	12	137	1
39	16	136	12	147	1
39	16	136	12	159	2
39	16	136	12	22	1
39	16	136	12	88	1
39	16	136	12	90	3
39	16	136	12	96	1
39	16	154	1	145	1
39	16	154	8	147	1
39	16	154	8	83	1
39	16	154	14	108	1
39	16	154	14	127	2
39	16	154	14	147	1
39	16	154	14	149	1
39	16	154	14	162	1
39	16	177	25	3	1
39	16	177	28	83	1
39	16	177	28	90	1
39	16	177	28	96	1
39	16	177	36	3	1
39	16	177	43	3	1
39	16	177	47	102	1
39	16	177	47	108	2
39	16	177	47	127	9
39	16	177	47	13	1
39	16	177	47	141	1
39	16	177	47	145	1
39	16	177	47	3	2
39	16	177	47	83	5
39	16	177	47	90	1
39	16	177	47	92	1
39	16	177	47	93	1
39	16	177	47	96	1
39	16	177	55	26	1
39	16	203	0	117	1
39	16	203	0	12	1
39	16	203	0	129	1
39	16	203	0	141	1
39	16	203	0	147	1
39	16	203	0	149	1
39	16	203	0	169	1
39	16	203	0	83	1
39	16	203	0	90	3
39	16	203	0	93	2
39	16	226	3	1	1
39	16	226	3	108	2
39	16	226	3	11	1
39	16	226	3	116	1
39	16	226	3	12	1
39	16	226	3	121	3
39	16	226	3	127	11
39	16	226	3	13	1
39	16	226	3	136	1
39	16	226	3	137	1
39	16	226	3	141	5
39	16	226	3	142	1
39	16	226	3	145	2
39	16	226	3	160	1
39	16	226	3	162	1
39	16	226	3	25	2
39	16	226	3	26	1
39	16	226	3	3	2
39	16	226	3	4	1
39	16	226	3	83	8
39	16	226	3	88	1
39	16	226	3	90	12
39	16	226	3	92	3
39	16	226	3	93	2
39	16	226	3	96	5
39	16	226	9	120	1
39	16	226	9	127	2
39	16	226	9	137	1
39	16	226	9	149	1
39	16	226	9	150	1
39	16	226	9	49	1
39	16	226	9	83	1
39	16	226	9	90	2
39	16	226	9	96	2
39	16	226	10	96	1
39	16	226	11	127	1
39	16	226	16	1	1
39	16	226	16	108	1
39	16	226	16	121	1
39	16	226	16	137	1
39	16	226	16	150	1
39	16	226	16	25	1
39	16	226	16	4	1
39	16	226	16	90	1
39	16	226	16	96	1
39	16	226	23	161	1
39	16	226	26	108	1
39	16	226	26	93	2
39	16	226	32	145	1
