id_area	id_field	id_subfield	subfield	field	area
5	11	5	Forestry	Agriculture, Fisheries & Forestry	Applied Sciences
5	11	6	Horticulture	Agriculture, Fisheries & Forestry	Applied Sciences
5	11	7	Veterinary Sciences	Agriculture, Fisheries & Forestry	Applied Sciences
5	10	8	Architecture	Built Environment & Design	Applied Sciences
5	10	9	Building & Construction	Built Environment & Design	Applied Sciences
5	10	10	Design Practice & Management	Built Environment & Design	Applied Sciences
5	10	11	Urban & Regional Planning	Built Environment & Design	Applied Sciences
5	4	12	Bioinformatics	Enabling & Strategic Technologies	Applied Sciences
5	4	15	Materials	Enabling & Strategic Technologies	Applied Sciences
5	4	16	Nanoscience & Nanotechnology	Enabling & Strategic Technologies	Applied Sciences
5	4	17	Optoelectronics & Photonics	Enabling & Strategic Technologies	Applied Sciences
5	4	18	Strategic, Defence & Security Studies	Enabling & Strategic Technologies	Applied Sciences
5	14	19	Aerospace & Aeronautics	Engineering	Applied Sciences
5	14	20	Automobile Design & Engineering	Engineering	Applied Sciences
5	4	14	Energy	Enabling & Strategic Technologies	Applied Sciences
5	14	22	Chemical Engineering	Engineering	Applied Sciences
5	14	24	Electrical & Electronic Engineering	Engineering	Applied Sciences
5	14	27	Industrial Engineering & Automation	Engineering	Applied Sciences
5	14	28	Mechanical Engineering & Transports	Engineering	Applied Sciences
5	14	30	Operations Research	Engineering	Applied Sciences
4	12	88	Developmental Biology	Biomedical Research	Health Sciences
5	19	31	Artificial Intelligence & Image Processing	Information & Communication Technologies	Applied Sciences
5	19	32	Computation Theory & Mathematics	Information & Communication Technologies	Applied Sciences
5	19	33	Computer Hardware & Architecture	Information & Communication Technologies	Applied Sciences
5	19	34	Distributed Computing	Information & Communication Technologies	Applied Sciences
5	19	35	Information Systems	Information & Communication Technologies	Applied Sciences
5	19	36	Medical Informatics	Information & Communication Technologies	Applied Sciences
5	19	37	Networking & Telecommunications	Information & Communication Technologies	Applied Sciences
5	19	38	Software Engineering	Information & Communication Technologies	Applied Sciences
6	13	39	Communication & Media Studies	Communication & Textual Studies	Arts & Humanities
6	13	40	Languages & Linguistics	Communication & Textual Studies	Arts & Humanities
6	13	41	Literary Studies	Communication & Textual Studies	Arts & Humanities
6	17	42	Anthropology	Historical Studies	Arts & Humanities
6	17	43	Archaeology	Historical Studies	Arts & Humanities
6	17	44	Classics	Historical Studies	Arts & Humanities
6	17	45	History	Historical Studies	Arts & Humanities
6	17	46	History of Science, Technology & Medicine	Historical Studies	Arts & Humanities
1	18	68	Criminology	Social Sciences	Economic & Social Sciences
5	14	21	Biomedical Engineering	Engineering	Applied Sciences
5	4	13	Biotechnology	Enabling & Strategic Technologies	Applied Sciences
5	14	23	Civil Engineering	Engineering	Applied Sciences
5	14	25	Environmental Engineering	Engineering	Applied Sciences
5	14	29	Mining & Metallurgy	Engineering	Applied Sciences
6	15	54	Folklore	Visual & Performing Arts	Arts & Humanities
6	17	47	History of Social Sciences	Historical Studies	Arts & Humanities
6	17	48	Paleontology	Historical Studies	Arts & Humanities
6	9	50	Philosophy	Philosophy & Theology	Arts & Humanities
